bpmag-Gmag,bpmag-rpmag,bpmag-Jmag,bpmag-Hmag,bpmag-Kmag,bpmag-W1mag,bpmag-W2mag,Gmag-rpmag,Gmag-Jmag,Gmag-Hmag,Gmag-Kmag,Gmag-W1mag,Gmag-W2mag,rpmag-Jmag,rpmag-Hmag,rpmag-Kmag,rpmag-W1mag,rpmag-W2mag,Jmag-Hmag,Jmag-Kmag,Jmag-W1mag,Jmag-W2mag,Hmag-Kmag,Hmag-W1mag,Hmag-W2mag,Kmag-W1mag,Kmag-W2mag,W1mag-W2mag,class
0.2575,0.6724,1.3648,1.6878,1.9918,2.2158,2.3468,0.4149,1.1073,1.4303,1.7343,1.9583,2.0893,0.6925,1.0155,1.3195,1.5435,1.6745,0.3230,0.6270,0.8510,0.9820,0.3040,0.5280,0.6590,0.2240,0.3550,0.1310,B
0.0579,0.1425,0.1744,0.1504,0.1594,0.1834,0.1384,0.0845,0.1165,0.0925,0.1015,0.1255,0.0805,0.0319,0.0079,0.0169,0.0409,-0.0041,-0.0240,-0.0150,0.0090,-0.0360,0.0090,0.0330,-0.0120,0.0240,-0.0210,-0.0450,B
0.2769,0.7278,1.2233,1.3853,1.6093,2.0083,2.2783,0.4509,0.9464,1.1084,1.3324,1.7314,2.0014,0.4955,0.6575,0.8815,1.2805,1.5505,0.1620,0.3860,0.7850,1.0550,0.2240,0.6230,0.8930,0.3990,0.6690,0.2700,B
0.1074,0.3463,0.6422,0.6672,0.7062,0.8262,0.8112,0.2389,0.5349,0.5599,0.5989,0.7189,0.7039,0.2959,0.3209,0.3599,0.4799,0.4649,0.0250,0.0640,0.1840,0.1690,0.0390,0.1590,0.1440,0.1200,0.1050,-0.0150,B
0.0656,0.1846,0.2756,0.2786,0.3496,0.3496,0.3166,0.1190,0.2100,0.2130,0.2840,0.2840,0.2510,0.0910,0.0940,0.1650,0.1650,0.1320,0.0030,0.0740,0.0740,0.0410,0.0710,0.0710,0.0380,0.0000,-0.0330,-0.0330,B
0.4159,0.9546,1.8163,2.5733,2.7933,2.7913,3.6423,0.5386,1.4003,2.1573,2.3773,2.3753,3.2263,0.8617,1.6187,1.8387,1.8367,2.6877,0.7570,0.9770,0.9750,1.8260,0.2200,0.2180,1.0690,-0.0020,0.8490,0.8510,B
0.1457,0.3848,0.6712,0.7012,0.8752,1.1792,1.3112,0.2391,0.5255,0.5555,0.7295,1.0335,1.1655,0.2864,0.3164,0.4904,0.7944,0.9264,0.0300,0.2040,0.5080,0.6400,0.1740,0.4780,0.6100,0.3040,0.4360,0.1320,B
-0.0049,-0.0555,-0.1123,-0.1533,-0.1523,-0.0983,-0.0193,-0.0506,-0.1073,-0.1483,-0.1473,-0.0933,-0.0143,-0.0568,-0.0978,-0.0968,-0.0428,0.0362,-0.0410,-0.0400,0.0140,0.0930,0.0010,0.0550,0.1340,0.0540,0.1330,0.0790,B
-0.0611,-0.2343,-0.3400,-0.3450,-0.3760,-0.1260,0.1780,-0.1732,-0.2789,-0.2839,-0.3149,-0.0649,0.2391,-0.1057,-0.1107,-0.1417,0.1083,0.4123,-0.0050,-0.0360,0.2140,0.5180,-0.0310,0.2190,0.5230,0.2500,0.5540,0.3040,B
0.2042,0.5298,1.1388,1.2808,1.4878,1.3148,1.3298,0.3256,0.9347,1.0767,1.2837,1.1107,1.1257,0.6091,0.7511,0.9581,0.7851,0.8001,0.1420,0.3490,0.1760,0.1910,0.2070,0.0340,0.0490,-0.1730,-0.1580,0.0150,B
