"name","bpmag-Gmag","bpmag-rpmag","bpmag-Jmag","bpmag-Hmag","bpmag-Kmag","bpmag-W1mag","bpmag-W2mag","Gmag-rpmag","Gmag-Jmag","Gmag-Hmag","Gmag-Kmag","Gmag-W1mag","Gmag-W2mag","rpmag-Jmag","rpmag-Hmag","rpmag-Kmag","rpmag-W1mag","rpmag-W2mag","Jmag-Hmag","Jmag-Kmag","Jmag-W1mag","Jmag-W2mag","Hmag-Kmag","Hmag-W1mag","Hmag-W2mag","Kmag-W1mag","Kmag-W2mag","W1mag-W2mag"
"Gaia16bnn",0.35,0.97,2.65,3.16,3.26,3.34,3.03,0.62,2.29,2.81,2.91,2.99,2.67,1.68,2.19,2.29,2.37,2.06,0.51,0.62,0.70,0.38,0.10,0.19,-0.13,0.08,-0.24,-0.32
"Gaia16bnz",0.20,0.48,0.94,1.19,1.29,1.47,1.56,0.28,0.74,1.00,1.10,1.27,1.36,0.46,0.72,0.82,0.99,1.08,0.26,0.36,0.53,0.62,0.10,0.28,0.36,0.18,0.26,0.09
"Gaia17ahl",1.10,2.46,4.90,5.97,6.23,6.67,6.44,1.35,3.80,4.87,5.12,5.57,5.34,2.44,3.52,3.77,4.21,3.99,1.08,1.33,1.77,1.54,0.25,0.70,0.47,0.44,0.22,-0.23
"Gaia17bpp",1.24,2.71,9.60,10.86,11.30,11.54,11.44,1.47,8.36,9.63,10.06,10.31,10.20,6.89,8.15,8.59,8.83,8.73,1.27,1.70,1.95,1.84,0.43,0.68,0.57,0.25,0.14,-0.11
"Gaia17bts",0.64,1.45,2.60,3.20,3.13,3.28,3.42,0.81,1.96,2.56,2.50,2.64,2.78,1.14,1.75,1.68,1.83,1.97,0.61,0.54,0.68,0.83,-0.07,0.08,0.22,0.15,0.29,0.14
"Gaia17bzd",1.41,2.79,4.74,5.49,5.86,6.35,6.68,1.37,3.33,4.08,4.44,4.94,5.26,1.95,2.71,3.07,3.57,3.89,0.76,1.12,1.62,1.94,0.36,0.86,1.18,0.50,0.82,0.32
"Gaia17cad",2.95,4.58,7.97,9.11,9.60,10.16,9.99,1.63,5.03,6.16,6.66,7.22,7.04,3.40,4.53,5.03,5.59,5.41,1.14,1.63,2.19,2.02,0.49,1.05,0.88,0.56,0.39,-0.17
"Gaia17clq",0.37,0.90,1.72,1.96,2.36,1.86,1.38,0.53,1.35,1.59,1.99,1.48,1.01,0.82,1.06,1.46,0.95,0.47,0.24,0.64,0.13,-0.34,0.40,-0.10,-0.58,-0.50,-0.98,-0.48
"Gaia18aju",0.68,2.17,3.79,4.70,4.97,4.92,4.87,1.48,3.11,4.01,4.29,4.24,4.19,1.62,2.53,2.81,2.76,2.70,0.91,1.19,1.13,1.08,0.28,0.23,0.17,-0.05,-0.10,-0.05
"Gaia18akn",0.66,1.47,2.66,2.95,3.14,4.09,4.15,0.81,2.00,2.28,2.47,3.43,3.49,1.19,1.47,1.66,2.62,2.68,0.28,0.47,1.43,1.48,0.19,1.14,1.20,0.95,1.01,0.06
"Gaia18akt",0.77,1.65,3.33,3.69,3.98,4.31,4.69,0.88,2.55,2.92,3.21,3.53,3.92,1.68,2.04,2.33,2.66,3.04,0.37,0.66,0.98,1.37,0.29,0.61,1.00,0.32,0.71,0.39
"Gaia18asq",1.21,2.31,3.92,4.66,4.85,4.96,5.08,1.11,2.72,3.46,3.64,3.76,3.88,1.61,2.35,2.54,2.65,2.77,0.74,0.93,1.04,1.16,0.19,0.30,0.42,0.11,0.23,0.12
"Gaia18atq",3.22,4.77,8.06,9.03,9.55,9.94,9.93,1.54,4.84,5.81,6.33,6.72,6.70,3.29,4.26,4.79,5.17,5.16,0.97,1.49,1.88,1.87,0.52,0.91,0.90,0.39,0.37,-0.02
"Gaia18auy",1.35,2.50,4.53,5.11,5.35,6.29,6.18,1.15,3.18,3.77,4.00,4.94,4.83,2.03,2.62,2.85,3.79,3.68,0.59,0.82,1.76,1.65,0.24,1.17,1.06,0.94,0.83,-0.11
"Gaia18bmt",1.05,2.09,3.65,4.39,4.61,4.90,4.86,1.04,2.60,3.34,3.56,3.85,3.80,1.56,2.31,2.52,2.81,2.77,0.74,0.96,1.25,1.21,0.22,0.51,0.46,0.29,0.24,-0.04
"Gaia18ccq",1.12,2.53,5.78,6.90,7.69,8.80,9.37,1.42,4.67,5.78,6.57,7.68,8.25,3.25,4.36,5.15,6.26,6.84,1.11,1.90,3.01,3.59,0.79,1.90,2.47,1.11,1.68,0.58
